Слово,перевод,по автору,автор,Язык
qerl'ar,be afraid,,Holisky 1987.,Бацбийский
mildar,be cold,,Holisky 1987.,Бацбийский
a=reva(d)dalar,be confused,,Holisky 1987.,Бацбийский
sicxa(d)dar,be hot,,Holisky 1987.,Бацбийский
maicdar,be hungry,,Holisky 1987.,Бацбийский
maicdar,be hungry,,Holisky 1987.,Бацбийский
h''edar,be late,,Holisky 1987.,Бацбийский
dal:ar,be lying inside,,Holisky 1987.,Бацбийский
"h""abdalar",be mentionned,,Holisky 1987.,Бацбийский
da:gar,be mixed up,locative statives,Holisky 1987.,Бацбийский
"h""alO qa?ar ",be ripe,,Holisky 1987.,Бацбийский
"dah""doxar/dexar",be ruined,,Holisky 1987.,Бацбийский
ču? edagar,be sitting,,Holisky 1987.,Бацбийский
la:t:ar,be standing,locative statives,Holisky 1987.,Бацбийский
xauk'dar,be thirsty,,Holisky 1987.,Бацбийский
dažar,be tied up,,Holisky 1987.,Бацбийский
ǧaldar,be worth,,Holisky 1987.,Бацбийский
qerl'ar dolar,become afraid,,Holisky 1987.,Бацбийский
k'ac'k'ardalar,become smaller,,Holisky 1987.,Бацбийский
k'utneba(d)dalar,belong to,,Holisky 1987.,Бацбийский
"dah"" d?ogdalar/q'egdalar",break,,Holisky 1987.,Бацбийский
dah'' dat'ar,burst open,change of state,Holisky 1987.,Бацбийский
dah''davar,die,,Holisky 1987.,Бацбийский
daq'dalar,dry up,,Holisky 1987.,Бацбийский
qačdalar,end,,Holisky 1987.,Бацбийский
ah''O ak'ar,fall,,Holisky 1987.,Бацбийский
tagar,fit,,Holisky 1987.,Бацбийский
xobžar,fit in/through a small space,,Holisky 1987.,Бацбийский
"dah"" ɣordar",freeze,,Holisky 1987.,Бацбийский
h''alO darst'ar,get fat,change of state,Holisky 1987.,Бацбийский
dah''daxar,get grunk,change of state,Holisky 1987.,Бацбийский
h''alO dedalar,get well,change of state,Holisky 1987.,Бацбийский
daxdalar,"go mindlessly, unconsiously",,Holisky 1987.,Бацбийский
h''alO daqdalar,grow up,change of state,Holisky 1987.,Бацбийский
qa?ar/qe?ar,hit,,Holisky 1987.,Бацбийский
qac'-u-so,i am hanging,,Holisky 1987.,Бацбийский
v-a-ra-so ̆,i was (there),,Holisky 1987.,Бацбийский
dat'ar,lie around,locative statives,Holisky 1987.,Бацбийский
q'iul dal'ar,lose weight,change of state,Holisky 1987.,Бацбийский
da,present copula,,Holisky 1987.,Бацбийский
dopšar/depšar,shatter,,Holisky 1987.,Бацбийский
labzar,slip,,Holisky 1987.,Бацбийский
"dah""xit'ar/xet'ar",snap,,Holisky 1987.,Бацбийский
dašar,soak,,Holisky 1987.,Бацбийский
q'eč'ar,"to appear, to be visible",,Holisky 1987.,Бацбийский
"h""alO dek'dar/ak'dar",tremble,,Holisky 1987.,Бацбийский
levdor,was,,Holisky 1987.,Бацбийский
bzuis,buzzes,,my prediction,Грузинский
k'atsdeba,he becomes a man,,The Georgian Verb,Грузинский
daixrčo,he drowned,,Harris 1982.,Грузинский
darča,he stayed,,Harris 1982.,Грузинский
iqo,he was,,Harris 1982.,Грузинский
gaxdeba,he will reduce  in weight,,Harris 1981.,Грузинский
daiɣleba,he will tire out,,Harris 1981.,Грузинский
vts'itledebi,i am becoming red,,The Georgian Verb,Грузинский
shia ,is hungry,,The Georgian Verb,Грузинский
shavdeba,it becomes black,,The Georgian Verb,Грузинский
udughdeba,it boils,,The Georgian Verb,Грузинский
gatqda,it broke,,Harris 1982.,Грузинский
mokvda,it died,,Harris 1982.,Грузинский
gaišra,it dried,,Harris 1982.,Грузинский
gamocxveba,it will bake,,Harris 1981.,Грузинский
daibadeba,it will be born,,Harris 1981.,Грузинский
išveba,it will be/is born,,Harris 1981.,Грузинский
daiçqeba,it will begin,,Harris 1981.,Грузинский
moidrikeba,it will bend,,Harris 1981.,Грузинский
gaiçqviteba,it will break off,,Harris 1981.,Грузинский
daixureba,"it will close, stut up",,Harris 1981.,Грузинский
moixaršeba,it will cook,,Harris 1981.,Грузинский
gašreba,it will dry,,Harris 1981.,Грузинский
čakreba,it will go out (about light),,Harris 1981.,Грузинский
gaizrdeba,it will grow up,,Harris 1981.,Грузинский
gatbeba,"it will heat, warm uo",,Harris 1981.,Грузинский
its'veba,it will lie,,my prediction,Грузинский
ainteba,"it will light up, turn on",,Harris 1981.,Грузинский
čaiketeba,it will lock,,Harris 1981.,Грузинский
gadneba,it will melt,,Harris 1981.,Грузинский
gaixsneba,it will open up,,Harris 1981.,Грузинский
çarmoišveba,it will originate,,Harris 1981.,Грузинский
daixeva,it will rip,,Harris 1981.,Грузинский
čaiзireba,it will sink,,Harris 1981.,Грузинский
gaišleba,it will spread(out),,Harris 1981.,Грузинский
grila,it's cool,,The Georgian Verb,Грузинский
bnela,it's dark,,The Georgian Verb,Грузинский
tskhela,it's hot,,The Georgian Verb,Грузинский
kaldeba,she becomes a woman,,The Georgian Verb,Грузинский
livlivebs,sparkle,,my prediction,Грузинский
taxtaxebs,trembles,,my prediction,Грузинский
arise,arise,predicates of existing and happening,Perlmutter 1978.,Английский
be big,be big,adjectives predicates,Perlmutter 1978.,Английский
be hot,be hot,adjectives predicates,Perlmutter 1978.,Английский
be huge,be huge,adjectives predicates,Perlmutter 1978.,Английский
be smart,be smart,adjectives predicates,Perlmutter 1978.,Английский
be stinky,be stinky,adjectives predicates,Perlmutter 1978.,Английский
begin,begin,aspectual predicates,Perlmutter 1978.,Английский
burn,burn,Semantic Patient,Perlmutter 1978.,Английский
cease,cease,aspectual predicates,Perlmutter 1978.,Английский
close,close,Semantic Patient,Perlmutter 1978.,Английский
drop,drop,Semantic Patient,Perlmutter 1978.,Английский
exist,exist,predicates of existing and happening,Perlmutter 1978.,Английский
fall,fall,Semantic Patient,Perlmutter 1978.,Английский
fill,fill,Semantic Patient,Perlmutter 1978.,Английский
float,float,Semantic Patient,Perlmutter 1978.,Английский
freeze,freeze,Semantic Patient,Perlmutter 1978.,Английский
glitter,glitter,stimuli that impinge in the senses,Perlmutter 1978.,Английский
glow,glow,stimuli that impinge in the senses,Perlmutter 1978.,Английский
happen,happen,predicates of existing and happening,Perlmutter 1978.,Английский
last,last,duratives,Perlmutter 1978.,Английский
lie,lie,Semantic Patient,Perlmutter 1978.,Английский
melt,melt,Semantic Patient,Perlmutter 1978.,Английский
occur,occur,predicates of existing and happening,Perlmutter 1978.,Английский
ooze,ooze,Semantic Patient,Perlmutter 1978.,Английский
open,open,Semantic Patient,Perlmutter 1978.,Английский
remain,remain,duratives,Perlmutter 1978.,Английский
result,result,predicates of existing and happening,Perlmutter 1978.,Английский
roll,roll,Semantic Patient,Perlmutter 1978.,Английский
seep,seep,Semantic Patient,Perlmutter 1978.,Английский
shake,shake,Semantic Patient,Perlmutter 1978.,Английский
shine,shine,stimuli that impinge in the senses,Perlmutter 1978.,Английский
sink,sink,Semantic Patient,Perlmutter 1978.,Английский
sparkle,sparkle,stimuli that impinge in the senses,Perlmutter 1978.,Английский
start,start,aspectual predicates,Perlmutter 1978.,Английский
stay,stay,duratives,Perlmutter 1978.,Английский
stop,stop,aspectual predicates,Perlmutter 1978.,Английский
survive,survive,duratives,Perlmutter 1978.,Английский
take place,take place,predicates of existing and happening,Perlmutter 1978.,Английский
trip,trip,Semantic Patient,Perlmutter 1978.,Английский
susumu,advance,,"Fukuda, 2017.",Японский
awareru,appear,,"Fukuda, 2017.",Японский
tuku,arrive,verbs with inherent direction,Tsujimura 1991.,Японский
noboru,ascend,,"Fukuda, 2017.",Японский
iru,be,,"Fukuda, 2017.",Японский
umareru,be born,,Kisimoto 1996.,Японский
komu,be crowded,,Kisimoto 1996.,Японский
oboreru,be drowned,deverbal nominal expression,Kisimoto 1996.,Японский
koboreru,be spilled,,Kisimoto 1996.,Японский
hazumu,bounce,verbs of manner with no protagonist control,Tsujimura 1991.,Японский
moeru,burn,,Kisimoto 1996.,Японский
kuru,come,verbs with inherent direction,Tsujimura 1991.,Японский
naku,cry,,Kisimoto 1996.,Японский
naoru,cure,,Kisimoto 1996.,Японский
tatu,depart,verbs with inherent direction,Tsujimura 1991.,Японский
sinu,die,deverbal nominal expression,Kisimoto 1996.,Японский
nakunaru,disappear,,"Fukuda, 2017.",Японский
kieru,disappear,,"Fukuda, 2017.",Японский
otiru,fall,verbs with inherent direction,Tsujimura 1991.,Японский
ochiru,fall,,"Fukuda, 2017.",Японский
koboru,fall down,,Kisimoto 1996.,Японский
taoreru,fall down,,Kisimoto 1996.,Японский
ukabu,float,verbs of manner with no protagonist control,Tsujimura 1991.,Японский
kooru,freeze,causation,Kisimoto 1996.,Японский
kumoru,get cloudy,,Kisimoto 1996.,Японский
iku,go,verbs with inherent direction,Tsujimura 1991.,Японский
kuruu,go wrong,,Kisimoto 1996.,Японский
katamaku,lean,,Kisimoto 1996.,Японский
saru,leave,,"Fukuda, 2017.",Японский
mahi-suru,paralyze,,Kisimoto 1996.,Японский
todoku ,reach,,"Fukuda, 2017.",Японский
yorokobu,rejoice,,"Fukuda, 2017.",Японский
kaeru,return,verbs with inherent direction,Tsujimura 1991.,Японский
jukusu,ripen,,Kisimoto 1996.,Японский
agaru,rise,verbs with inherent direction,Tsujimura 1991.,Японский
korogaru,roll,verbs of manner with no protagonist control,Tsujimura 1991.,Японский
kusaru,rot,,Kisimoto 1996.,Японский
nemuru,sleep,deverbal nominal expression,Kisimoto 1996.,Японский
suberu,slide,verbs of manner with no protagonist control,Tsujimura 1991.,Японский
tissoku-suru,smother,,Kisimoto 1996.,Японский
tomaru,stop,,Kisimoto 1996.,Японский
fureru,tremble,,Kisimoto 1996.,Японский
yowaru,weaken,,Kisimoto 1996.,Японский
kareru,wither,deverbal nominal expression,Kisimoto 1996.,Японский
?iilena,be a man,,Hori 2008.,Хайда
xaynana,be alive,,Hori 2008.,Хайда
xuy,be cold,,Hori 2008.,Хайда
sq'iila,be dirty,,Hori 2008.,Хайда
giidxa,be embarrassed,,Hori 2008.,Хайда
laa,be good,,Hori 2008.,Хайда
lq'unxida,be nervous,,Hori 2008.,Хайда
q'aya,be old,,Hori 2008.,Хайда
haana,be pretty,,Hori 2008.,Хайда
giilgi,be ready,,Hori 2008.,Хайда
st'i,be sick,,Hori 2008.,Хайда
q'ana,be sleepy,,Hori 2008.,Хайда
sq'adaga,be smart,,Hori 2008.,Хайда
daguya,be strong,,Hori 2008.,Хайда
qat'uu,be thirsty,,Hori 2008.,Хайда
gaxa,be weak,,Hori 2008.,Хайда
sgidalda,blush,,Hori 2008.,Хайда
k'ud?ul,die,,Hori 2008.,Хайда
selgen,feel ticklish,,Hori 2008.,Хайда
lgaxida,shiver,,Hori 2008.,Хайда
danal,sweat,,Hori 2008.,Хайда
rayeuk,be big,,Foley,Ачехский
leupie,be cold,,Foley,Ачехский
ka-teu-koh,be cut down,,Foley,Ачехский
jroh,be good,,Foley,Ачехский
teu-timbak-geuh,be shot,,Foley,Ачехский
teu-nyue-nyue,be stretched out,,Foley,Ачехский
bucho,be wet,,Foley,Ачехский
rhët-,fall,,Foley,Ачехский
gopnyan ka-matê,he died,,Foley,Ачехский
teu-ingat,remember,,Foley,Ачехский
meu-êk,risen,,Foley,Ачехский
teu-khêm,smile,,Foley,Ачехский
teu-jak,walk aimlessly,,Foley,Ачехский
laun,alive,state (no human expriencer),Foley,Толай
ta-puar,be broken,change in state,Foley,Толай
ta-rup,be uprooted,change in state,Foley,Толай
ngala,big,state (no human expriencer),Foley,Толай
beo,bird,change of state(prototypical object),Foley,Толай
korong,black,state (no human expriencer),Foley,Толай
io,burn,,Foley,Толай
talili,dizzy,state (no human expriencer),Foley,Толай
bura,fall,movement,Foley,Толай
oao,feverish,state (no human expriencer),Foley,Толай
par,finish,incremental theme,Foley,Толай
vuai,fruit,change of state(prototypical object),Foley,Толай
buka,full,change in state,Foley,Толай
kuma apang,go up,movement,Foley,Толай
vana-vana,go-go,incremental theme,Foley,Толай
kubur,grow,change in state,Foley,Толай
malamalapang,hot,state (no human expriencer),Foley,Толай
kadik,hurt,state (no human expriencer),Foley,Толай
polo,leak,change in state,Foley,Толай
mao,ripen,change in state,Foley,Толай
dudu,sink,movement,Foley,Толай
ug,swell,state (no human expriencer),Foley,Толай
hiya,ashamed,,Foley,Кимараганг
a-gayo,be big,state,Foley,Кимараганг
susu,be born,,Foley,Кимараганг
a-ra'ag,be broken,state,Foley,Кимараганг
o-le'eng,be old,state,Foley,Кимараганг
o-silow,be yellow,state,Foley,Кимараганг
tipu,break,,Foley,Кимараганг
ma-libing,bury,,Foley,Кимараганг
pu'ut,cave in,,Foley,Кимараганг
tuan,collapse,,Foley,Кимараганг
ruta,crumble,,Foley,Кимараганг
ma-sira,destroy,,Foley,Кимараганг
patay,die,,Foley,Кимараганг
tanus,disappear,,Foley,Кимараганг
tangi,dissolve,,Foley,Кимараганг
rulun,drift,,Foley,Кимараганг
ma-tayo,dry,,Foley,Кимараганг
lo'o,fall,,Foley,Кимараганг
ratu,fall,,Foley,Кимараганг
liwan,fall,,Foley,Кимараганг
ma-yari,finish,,Foley,Кимараганг
noko-rasang,get angry,sentience,Foley,Кимараганг
palid,get lost,,Foley,Кимараганг
pilat,get wounded,,Foley,Кимараганг
