значение/язык,итальянский,турецкий,японский,голландский,кимараганг,грузинский,юкатекский,русский ,западноармянский,айнский,толай,английский,ачехский,бацбийский,слэйви,не-персе,кабардинский,хайда,лакота,НЕАККУЗАТИВНЫЙ,НЕЭРГАТИВНЫЙ,НЕПОНЯТНЫЙ
fall,1,1,1,1,1,na,1,1,1,1,1,1,1,?,1,na,1,na,na,14,0,1
die,1,1,1,1,1,1,1,1,na,1,na,na,1,1,na,1,na,1,1,14,0,0
arrive,1,na,1,1,na,na,1,1,1,1,na,na,na,na,na,na,na,na,na,7,0,0
enter,na,1,na,na,0,na,1,1,1,na,0,na,na,1,na,1,na,na,na,6,2,0
grow,1,1,na,1,na,na,1,1,na,na,1,na,na,na,na,na,na,na,na,6,0,0
happen,1,na,na,1,na,na,1,1,na,na,na,1,na,na,1,na,na,na,na,6,0,0
sink,1,1,na,na,na,1,na,1,na,1,1,na,1,na,na,na,na,na,na,7,0,0
stay,1,1,na,na,na,1,na,1,na,1,na,na,1,na,na,na,na,na,na,6,0,0
be,1,na,1,na,na,1,na,1,1,na,na,na,na,1,na,na,na,na,na,6,0,0
be born,na,na,1,na,1,1,1,?,1,na,na,na,na,na,na,na,na,na,na,5,0,1
burn,1,na,1,1,na,na,na,?,na,na,1,1,na,na,na,na,na,na,na,5,0,1
come,1,1,1,na,na,na,na,1,1,1,na,na,na,0,na,1,na,na,0,7,2,0
rot,1,1,1,1,1,na,na,?,na,na,na,na,na,na,na,na,na,na,na,5,0,1
exist,1,1,na,na,na,na,na,1,na,na,na,1,na,na,1,na,na,na,na,5,0,0
remain,1,1,na,1,na,na,1,?,na,na,na,na,1,?,na,na,na,na,na,5,0,2
be big,na,na,na,na,1,na,na,?,na,na,1,1,1,na,na,na,na,na,na,4,0,1
break,na,na,na,na,1,1,na,?,na,na,na,na,na,1,1,na,na,na,na,4,0,1
freeze,na,na,1,na,na,na,na,?,na,na,na,1,na,1,na,na,1,na,na,4,0,1
ripen,na,na,1,na,1,1,na,?,na,na,1,na,na,na,na,na,na,na,na,4,0,1
disappear,na,1,1,1,1,na,na,?,na,na,na,na,na,0,na,na,na,na,na,4,1,1
dry,1,1,na,na,1,1,na,?,na,na,na,na,na,?,na,na,na,na,na,4,0,2
be cold,na,na,na,na,na,na,na,na,na,na,na,na,1,1,na,na,na,1,na,3,0,0
be good,0,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,na,1,1,3,0,0
be hot,na,na,na,na,na,1,na,na,na,na,na,1,na,1,na,na,na,na,na,3,0,0
be sick,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,1,1,1,na,3,1,0
be thirsty,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,1,1,3,0,0
float,na,na,1,na,na,na,na,na,na,na,na,1,na,na,1,na,na,na,na,3,0,0
tremble,na,na,1,na,na,1,na,na,na,na,na,na,na,1,na,na,na,na,na,3,0,0
be afraid,na,na,na,na,na,na,1,na,na,na,0,na,na,1,na,na,1,?,0,3,2,1
close,na,na,na,na,na,1,na,1,na,na,na,1,na,na,na,na,na,na,na,3,0,0
go,1,na,1,na,0,na,na,na,1,na,0,na,na,0,na,0,na,na,0,2,5,0
gush,na,1,na,1,na,0,na,na,na,na,na,na,na,1,na,na,na,na,na,3,1,0
